哈TV有线,#genre#
東森綜合台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_32_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
超視(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_33_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
東森購物2台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_34_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
MOMO2台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_35_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
中天綜合台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_36_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
東風衛視台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_37_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
MUCH TV(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_38_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
地方采風(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_39_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
東森戲劇台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_40_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
八大戲劇台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_41_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
TVBS歡樂台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_42_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
